file_name,entry_id,block_name,source_tag,name_metal_tag,topology_tag,dim_tag,file_size_bytes,file_sha1,chemical_formula_sum_raw,parse_status,parse_fail_reason
KOBPUP_ASR_pacman.cif,KOBPUP,KOBPUP_ASR_pacman,ASR,,,,40133,37e2ed61bc36c35e95790565148ce3316e658ed0,'Cd16 H224 C240 N64 O64',PASS,
KOBPUP_FSR_pacman.cif,KOBPUP,KOBPUP_FSR_pacman,FSR,,,,43243,5b69869cde8ddde83efa29b2e68b19dde5f9c3e1,'Cd16 H256 C240 N64 O80',PASS,
KOBXIL_ASR_pacman.cif,KOBXIL,KOBXIL_ASR_pacman,ASR,,,,20806,e3857168fd851faf3363a2c076b737dc1a79bf77,'In6 Cu32 C144 I32 N48 O48',PASS,
KOBXIL_FSR_pacman.cif,KOBXIL,KOBXIL_FSR_pacman,FSR,,,,20818,c612a83c51d478e14dfed4dfaced87cc968a1337,'In6 Cu32 C144 I32 N48 O48',PASS,
KOCCUC_ASR_pacman.cif,KOCCUC,KOCCUC_ASR_pacman,ASR,,,,7350,7f091f5b2b5b0887ceb3921e29084c93cbdd709b,'Cd3 H32 C54 N2 O12',PASS,
KOCGOC_ASR_pacman.cif,KOCGOC,KOCGOC_ASR_pacman,ASR,,,,8087,62114a51d10855113c4ce9c1cdc803ce8c36fa2f,'Mn4 Ni2 H24 C48 N24 O12',PASS,
KOCWEF_ASR_pacman.cif,KOCWEF,KOCWEF_ASR_pacman,ASR,,,,24246,2d6ae46b05e71dd1427b8a76440458bd08744422,'Mn16 H88 C148 N68 O44',PASS,
KOCWEF_FSR_pacman.cif,KOCWEF,KOCWEF_FSR_pacman,FSR,,,,24241,24f397e6078df987485ad687735396f2708b79ac,'Mn16 H88 C148 N68 O44',PASS,
KODDUF_ASR_pacman.cif,KODDUF,KODDUF_ASR_pacman,ASR,,,,16072,aa6edc1a97754a5f9f915c3e6238a4cf151d9863,'Co2 H112 C108 S4 N12',PASS,
KODDUF_FSR_pacman.cif,KODDUF,KODDUF_FSR_pacman,FSR,,,,16048,552f1c77f47427232c56be60656c65d2e8fd38c2,'Co2 H112 C108 S4 N12',PASS,
